Id	Label	type	date
1624_nochesclaras	1624_nochesclaras	text	1624
Tasso, Torquato	Tasso, Torquato	authority	
Camões, Luis de	Camões, Luis de	authority	
Garcilaso	Garcilaso	authority	
Silveira, Miguel de	Silveira, Miguel de	authority	
Homero	Homero	authority	
san Juan	san Juan	authority	
Génesis	Génesis	authority	
Carvalho, Miguel Botelho de	Carvalho, Miguel Botelho de	polemist	
Horacio	Horacio	authority	
Trebelio	Trebelio	authority	
Plauto	Plauto	authority	
Timón el Filasio	Timón el Filasio	authority	
Suidas	Suidas	authority	
Plutarco	Plutarco	authority	
Pausanias	Pausanias	authority	
Alejandro Napolitano	Alejandro Napolitano	authority	
Apocalipsis	Apocalipsis	authority	
Aristóteles	Aristóteles	authority	
Marcial	Marcial	authority	
Platón	Platón	authority	
Heráclito	Heráclito	authority	
Virgilio	Virgilio	authority	
Barros, João de	Barros, João de	authority	
