Id	Label	type	date
1616_soledad-segunda-diaz	1616_soledad-segunda-diaz	text	1616
Lucano	Lucano	authority	
Virgilio	Virgilio	authority	
Claudiano	Claudiano	authority	
Tasso	Tasso	authority	
Servio	Servio	authority	
Mancinelo	Mancinelo	authority	
Padre Cerda	Padre Cerda	authority	
Escalígero	Escalígero	authority	
padres Coimbrenses	padres Coimbrenses	authority	
Horacio	Horacio	authority	
Valeriano	Valeriano	authority	
Estacio Papinio	Estacio Papinio	authority	
Nono	Nono	authority	
San Crisóstomo	San Crisóstomo	authority	
Hesíodo	Hesíodo	authority	
Catulo	Catulo	authority	
Papinio	Papinio	authority	
Molza	Molza	authority	
Jovio	Jovio	authority	
Platina	Platina	authority	
Plinio	Plinio	authority	
Marcial	Marcial	authority	
Juvenal	Juvenal	authority	
Persio	Persio	authority	
Musoneo	Musoneo	authority	
Estobeo	Estobeo	authority	
Estacio	Estacio	authority	
Apolonio	Apolonio	authority	
Máximo Tirio	Máximo Tirio	authority	
Eurípides	Eurípides	authority	
Silio	Silio	authority	
Alciato	Alciato	authority	
Aristóteles	Aristóteles	authority	
Titelman	Titelman	authority	
Empédocles	Empédocles	authority	
Galeno	Galeno	authority	
Jerónimo Mercurial	Jerónimo Mercurial	authority	
Luis Vives	Luis Vives	authority	
Sabélico	Sabélico	authority	
Séneca	Séneca	authority	
Sannazaro	Sannazaro	authority	
Bernardo Tasso	Bernardo Tasso	authority	
Marino	Marino	authority	
Bartolomé de Argensola	Bartolomé de Argensola	authority	
Eneida	Eneida	authority	
Ovidio	Ovidio	authority	
Martín Antonio del Río	Martín Antonio del Río	authority	
Homero	Homero	authority	
Garcilaso	Garcilaso	authority	
Chiabrera	Chiabrera	authority	
Primera Soledad	Primera Soledad	authority	
Petrarca	Petrarca	authority	
Aníbal Caro	Aníbal Caro	authority	
Fornuto	Fornuto	authority	
Higinio	Higinio	authority	
Fracastoro	Fracastoro	authority	
Higino	Higino	authority	
Eritreo	Eritreo	authority	
Dion Crisóstomo	Dion Crisóstomo	authority	
Platón	Platón	authority	
Dionisio Uticensi	Dionisio Uticensi	authority	
Eliano	Eliano	authority	
Arato	Arato	authority	
Palladio	Palladio	authority	
Pontano	Pontano	authority	
Calpurnio	Calpurnio	authority	
Luis de Góngora	Luis de Góngora	authority	
Juan Francisco Pico	Juan Francisco Pico	authority	
Lucrecio	Lucrecio	authority	
Ennio	Ennio	authority	
Silio Itálico	Silio Itálico	authority	
Marco Antonio Flaminio	Marco Antonio Flaminio	authority	
Valerio Máximo	Valerio Máximo	authority	
Cicerón	Cicerón	authority	
Demóstenes	Demóstenes	authority	
Jerónimo Vida	Jerónimo Vida	authority	
Teodoreto	Teodoreto	authority	
Valerio Flaco	Valerio Flaco	authority	
Propercio	Propercio	authority	
Plutarco	Plutarco	authority	
Tranquilo	Tranquilo	authority	
Tácito	Tácito	authority	
Ariosto	Ariosto	authority	
Baltasar Castellán	Baltasar Castellán	authority	
Ausonio	Ausonio	authority	
Nemesiano	Nemesiano	authority	
Sidonio Antípatro	Sidonio Antípatro	authority	
Mureto	Mureto	authority	
Guarino	Guarino	authority	
Tebeto	Tebeto	authority	
Salustio	Salustio	authority	
Justino	Justino	authority	
Calímaco	Calímaco	authority	
Opiano	Opiano	authority	
Estillán	Estillán	authority	
Andrea Mathioli	Andrea Mathioli	authority	
Laguna	Laguna	authority	
Dioscórides	Dioscórides	authority	
San Isidoro	San Isidoro	authority	
Bercoreo	Bercoreo	authority	
Ciceronem	Ciceronem	authority	
Hernando de Herrera	Hernando de Herrera	authority	
Camoês	Camoês	authority	
Torcuato Tasso	Torcuato Tasso	authority	
Pitágoras	Pitágoras	authority	
Filón	Filón	authority	
San Anselmo	San Anselmo	authority	
Paulo Jovio	Paulo Jovio	authority	
Varrón	Varrón	authority	
Fernández de Córdoba, Francisco	Fernández de Córdoba, Francisco	polemist	
Tamayo de Vargas, Tomás	Tamayo de Vargas, Tomás	polemist	
Padre Martín de Roa	Padre Martín de Roa	authority	
Antonio de Lebrija	Antonio de Lebrija	authority	
Estrabón	Estrabón	authority	
Filóstrato	Filóstrato	authority	
Pomponio Mela	Pomponio Mela	authority	
Arnobio	Arnobio	authority	
Juan Bautista Suárez	Juan Bautista Suárez	authority	
Cardenal Sipontino	Cardenal Sipontino	authority	
Solón	Solón	authority	
Jerónimo de Osorio	Jerónimo de Osorio	authority	
Pausanias	Pausanias	authority	
don Luis	don Luis	authority	
San Cirilo	San Cirilo	authority	
Dante	Dante	authority	
OC264B	Era del año la estación florida [Soledad Primera]	ref	1613
OC264C	Éntrase el mar por un arroyo breve [Soledad Segunda]	ref	1614
OC255C		ref	
copos nieva en la otra mil de lana OC255	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	ref	1612
prodigio dulce que corona el viento, en unas mismas plumas escondido el músico, la musa, el instrumento OC202	Mal haya el que en señores idolatra	ref	1609
