Id	Label	type	date
1660_apologetico	1660_apologetico	text	1660
Faria e Sousa, Manuel de	Faria e Sousa, Manuel de	polemist	
Espinosa Medrano, Juan de	Espinosa Medrano, Juan de	polemist	
Gregorio Nacianceno	Gregorio Nacianceno	authority	
Góngora, Luis de	Góngora, Luis de	polemist	
san Basilio	san Basilio	authority	
Teodoreto	Teodoreto	authority	
san Jerónimo	san Jerónimo	authority	
Virgilio	Virgilio	authority	
Séneca	Séneca	authority	
Claudiano	Claudiano	authority	
Marcial	Marcial	authority	
santo Tomás	santo Tomás	authority	
Salcedo Coronel, García de	Salcedo Coronel, García de	polemist	
Alciato	Alciato	authority	
Cognato, Gilberto	Cognato, Gilberto	authority	
Melanctón	Melanctón	authority	
Erasmo	Erasmo	authority	
Vatablo	Vatablo	authority	
Escalígero	Escalígero	authority	
ValLa, Laurencio	ValLa, Laurencio	authority	
Vives, Luis	Vives, Luis	authority	
san Isidoro	san Isidoro	authority	
Loayza, García de	Loayza, García de	authority	
Camões	Camões	authority	
Cicerón	Cicerón	authority	
Aristóteles	Aristóteles	authority	
Platón	Platón	authority	
Aristarco	Aristarco	authority	
Calcentero	Calcentero	authority	
Dídimo el ciego	Dídimo el ciego	authority	
Tibulo	Tibulo	authority	
apóstol Pablo	apóstol Pablo	authority	
Quintiliano	Quintiliano	authority	
Horacio	Horacio	authority	
Cerda, Juan Luis de la	Cerda, Juan Luis de la	authority	
Cocayo, Merlín	Cocayo, Merlín	authority	
Lodola, Aquario	Lodola, Aquario	authority	
Bustamante y Torreblanca, Pedro de	Bustamante y Torreblanca, Pedro de	polemist	
Columna, Gerónimo	Columna, Gerónimo	authority	
Sabino, Georgio	Sabino, Georgio	authority	
Tertuliano	Tertuliano	authority	
Hadriano Junio	Hadriano Junio	authority	
Dante	Dante	authority	
Petrarca	Petrarca	authority	
sannazaro	sannazaro	authority	
Ariosto	Ariosto	authority	
Tasso	Tasso	authority	
Garcilaso	Garcilaso	authority	
Herrera, Fernando de	Herrera, Fernando de	authority	
Servio	Servio	authority	
Varrón	Varrón	authority	
Ovidio	Ovidio	authority	
Pacuvio	Pacuvio	authority	
Pinciano, Alonso López	Pinciano, Alonso López	authority	
Lucrecio	Lucrecio	authority	
Villar, Francisco del	Villar, Francisco del	polemist	
Morales, Ambrosio de	Morales, Ambrosio de	authority	
Homero	Homero	authority	
Mena, Juan de	Mena, Juan de	authority	
Boscán	Boscán	authority	
Gómez Manrique	Gómez Manrique	authority	
Paravicino, fray Hortensio Félix	Paravicino, fray Hortensio Félix	authority	
Mena,Juan de	Mena,Juan de	authority	
Oña, Pedro de	Oña, Pedro de	polemist	
Plinio el menor	Plinio el menor	authority	
Barahona de Soto, Luis	Barahona de Soto, Luis	authority	
Silvestre, Gregorio	Silvestre, Gregorio	authority	
Gómez de Ciudad Real, Alvar	Gómez de Ciudad Real, Alvar	authority	
Cervantes, Miguel de	Cervantes, Miguel de	authority	
Apuleyo	Apuleyo	authority	
Mureto, Marco Antonio	Mureto, Marco Antonio	authority	
san Cipriano	san Cipriano	authority	
Cornelio Tácito	Cornelio Tácito	authority	
Plinio el Mayor	Plinio el Mayor	authority	
Nebrija, Antonio de	Nebrija, Antonio de	authority	
Macrobio	Macrobio	authority	
Ariphades	Ariphades	authority	
López Pinciano, Alonso	López Pinciano, Alonso	authority	
Argensola, Bartolomé Leonardo de	Argensola, Bartolomé Leonardo de	authority	
Gracián, Juan	Gracián, Juan	authority	
Turnebe, Adrien	Turnebe, Adrien	authority	
Ascensio	Ascensio	authority	
san Juan Crisóstomo	san Juan Crisóstomo	authority	
Lelio Tifernate	Lelio Tifernate	authority	
Tales	Tales	authority	
Molina, Luis de	Molina, Luis de	authority	
Lucano	Lucano	authority	
Beroaldo, Filipo	Beroaldo, Filipo	authority	
Píndaro	Píndaro	authority	
Plauto	Plauto	authority	
Menandro	Menandro	authority	
Mahoma	Mahoma	authority	
Pellicer, José	Pellicer, José	polemist	
Donato	Donato	authority	
Ronsard	Ronsard	authority	
Teócrito	Teócrito	authority	
Salustio	Salustio	authority	
Corte-Real, Jerónimo de	Corte-Real, Jerónimo de	authority	
Valdivieso	Valdivieso	authority	
Boiardo, Matteo Maria	Boiardo, Matteo Maria	authority	
Montemayor, Jorge de	Montemayor, Jorge de	authority	
Marino, Giambattista	Marino, Giambattista	authority	
Tasso, Torquato	Tasso, Torquato	authority	
Vega, Lope de	Vega, Lope de	authority	
Verderio, Antonio	Verderio, Antonio	authority	
Pedro Aretino	Pedro Aretino	authority	
Ezequiel, profeta	Ezequiel, profeta	authority	
san Mateo	san Mateo	authority	
Corte-Real, Jerónimo	Corte-Real, Jerónimo	authority	
Vicuña	Vicuña	polemist	
Estacio	Estacio	authority	
Albiz, Nicolás de	Albiz, Nicolás de	polemist	
Salazar Mardones, Cristóbal de	Salazar Mardones, Cristóbal de	polemist	
OC255	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	ref	1612
OC264C	Éntrase el mar por un arroyo breve [Soledad Segunda]	ref	1614
OC264A	Pasos de un peregrino son, errante [Dedicatoria Soledades]	ref	1613
OC313	Si arrebatado merecí algún día	ref	1617
OC264B	Era del año la estación florida [Soledad Primera]	ref	1613
OC317	La ciudad de Babilonia,	ref	1618
OC154	Del león, que en la Silva apenas cabe	ref	1604
OC31	Verdes hermanas del audaz mozuelo	ref	1583
OC319	Esta de flores, cuando no divina,	ref	1619
OC287	No entre las flores, no, señor don Diego,	ref	1615
OC149	¿Qué lleva el señor Esgueva?	ref	1603
OC463	Patos de la aguachirle castellana,	ref	ant. a 1622
OC26	Que se nos va la pascua, mozas	ref	1582
OC80	Famosos son, en las armas	ref	1590
OC389	Menos solicitó veloz saeta	ref	1623
OC311	En vez de las Helíades, ahora	ref	1617
OC315	Caballo que despediste,	ref	1617
OC324	Guerra me hacen dos cuidados	ref	1619
OC383	«Ave del plumaje negro,	ref	1622
OC145	Sobre trastes de guijas	ref	1603
OC18	Cual parece al romper de la mañana	ref	1582
OC33	Cuál del Ganges marfil, o cuál de Paro	ref	1583
OC61	Levantando blanca espuma	ref	1586
OC82	Dejad los libros ahora	ref	1590
OC147	De un monte en los senos, donde	ref	1603
OC160	A un tiempo dejaba el sol	ref	1605
OC202	Mal haya el que en señores idolatra	ref	1609
OC219	Pálida restituye a su elemento	ref	1610
OC249	Cloris, el más bello grano	ref	1611
OC350	Por las faldas del Atlante,	ref	1620
OC372	Guarda corderos, zagala,	ref	1621
OC375	Al tronco descansaba de una encina	ref	1622
OC279	Al campo salió, el estío,	ref	1614
OC351	En la fuerza de Almería	ref	1620
OC360	Aljófares risueños de Albïela:	ref	1621
OC223	En roscas de cristal serpiente breve	ref	1610
OC41	La dulce boca que a gustar convida	ref	1584
