Id	Label	type	date
1616_soledad-segunda-diaz	1616_soledad-segunda-diaz	text	1616
san Jerónimo	san Jerónimo	authority	
Justo Lipsio	Justo Lipsio	authority	
Horacio […]. Y san Jerónimo…	Horacio […]. Y san Jerónimo…	authority	
el Apóstol	el Apóstol	authority	
Lope de Vega	Lope de Vega	polemista	
Cristóbal Suárez de Figueroa	Cristóbal Suárez de Figueroa	polemista	
Cristóbal Suárez de Figueroa (Valladolid h. 1571 – d. 1644	Cristóbal Suárez de Figueroa (Valladolid h. 1571 – d. 1644	polemista	
Manuel Ponce	Manuel Ponce	polemista	
Toledo	Toledo	polemista	
Hortensio	Hortensio	polemista	
Aristóteles	Aristóteles	authority	
Horacio	Horacio	authority	
Tasso	Tasso	authority	
Minturno	Minturno	authority	
Virgilio	Virgilio	authority	
Catón	Catón	authority	
Ovidio	Ovidio	authority	
Garcilaso	Garcilaso	authority	
Javoleno	Javoleno	authority	
san Agustín	san Agustín	authority	
san Pablo	san Pablo	authority	
Profeta Rey	Profeta Rey	authority	
San Teodoreto	San Teodoreto	authority	
Séneca	Séneca	authority	
Zafiros pisa, si no pace estrellas	Era del año la estación florida [Soledad Primera]	ref	1613
