Id	Label	type	date
1624_nochesclaras	1624_nochesclaras	text	1624
Job	Job	authority	
Aulo Gelio	Aulo Gelio	authority	
Eurípides	Eurípides	authority	
Séneca	Séneca	authority	
Pío Segundo	Pío Segundo	authority	
Cicerón	Cicerón	authority	
Jurisconsulto Paulo	Jurisconsulto Paulo	authority	
Apocalipsis	Apocalipsis	authority	
Génesis	Génesis	authority	
la tragedia de Píramo y Tisbe	la tragedia de Píramo y Tisbe	authority	
Amantes Babilónicos	Amantes Babilónicos	authority	
Horacio	Horacio	authority	
Trebelio	Trebelio	authority	
Plauto	Plauto	authority	
Homero	Homero	authority	
Timón Filasio	Timón Filasio	authority	
Suidas	Suidas	authority	
Plutarco	Plutarco	authority	
Pausanias	Pausanias	authority	
Alejandro Napolitano	Alejandro Napolitano	authority	
Aristóteles	Aristóteles	authority	
Marcial	Marcial	authority	
Platón	Platón	authority	
Heráclito	Heráclito	authority	
Filósofo de Efeso	Filósofo de Efeso	authority	
