Id	Label	type	date
1636_compendio-poetico	1636_compendio-poetico	text	1636
Homero	Homero	authority	
Virgilio	Virgilio	authority	
Horacio	Horacio	authority	
Píndaro	Píndaro	authority	
Persio	Persio	authority	
Juvenal	Juvenal	authority	
Marcial	Marcial	authority	
Catulo	Catulo	authority	
Plauto	Plauto	authority	
Terencio	Terencio	authority	
Lucano	Lucano	authority	
Séneca	Séneca	authority	
Quintiliano	Quintiliano	authority	
Cicerón	Cicerón	authority	
Castro, Francisco de	Castro, Francisco de	authority	
Suárez, Cipriano	Suárez, Cipriano	authority	
Lipsio, Justo	Lipsio, Justo	authority	
López, Diego	López, Diego	authority	
Céspedes, Baltasar de	Céspedes, Baltasar de	authority	
Roa, Martín de	Roa, Martín de	authority	
Anacreonte	Anacreonte	authority	
Zwinger, Theodor	Zwinger, Theodor	authority	
Ennio	Ennio	authority	
Rodiginio, Celio	Rodiginio, Celio	authority	
Rader, Matthäus	Rader, Matthäus	authority	
Cerda, Juan Luis de la	Cerda, Juan Luis de la	authority	
Plinio	Plinio	authority	
Furio	Furio	authority	
Propercio	Propercio	authority	
Ovidio	Ovidio	authority	
Sannazaro	Sannazaro	authority	
Aristóteles	Aristóteles	authority	
Barreda, Francisco de	Barreda, Francisco de	authority	
Ercilla, Alonso de	Ercilla, Alonso de	authority	
Cairasco de Figueroa, Bartolomé	Cairasco de Figueroa, Bartolomé	authority	
Figueroa	Figueroa	authority	
Camões	Camões	authority	
Herrera, Fernando de	Herrera, Fernando de	authority	
Silva y Mendoza, Diego de	Silva y Mendoza, Diego de	authority	
Mira de Mescua, Antonio	Mira de Mescua, Antonio	authority	
Valdivielso, José de	Valdivielso, José de	authority	
Ledesma, Antonio de	Ledesma, Antonio de	authority	
Tassis y Peralta, Juan de	Tassis y Peralta, Juan de	authority	
Calderón, Pedro	Calderón, Pedro	authority	
Bonilla, Alonso de	Bonilla, Alonso de	authority	
Lupercio	Lupercio	authority	
Pantaleón de Ribera, Anastasio	Pantaleón de Ribera, Anastasio	authority	
Villaizán, Jerónimo de	Villaizán, Jerónimo de	authority	
Pellicer, José de	Pellicer, José de	authority	
Salinas	Salinas	authority	
Mendoza, Antonio de	Mendoza, Antonio de	authority	
Mena, Juan de	Mena, Juan de	authority	
Garcilaso	Garcilaso	authority	
Sánchez de las Brozas, Francisco	Sánchez de las Brozas, Francisco	authority	
Tamayo de Vargas, Tomás	Tamayo de Vargas, Tomás	authority	
Pérez de Montalbán, Juan	Pérez de Montalbán, Juan	authority	
