Id	Label	type	date
1621_censura-lope	1621_censura-lope	text	1621
Horacio	Horacio	authority	
Aristóteles	Aristóteles	authority	
Aulo Gelio	Aulo Gelio	authority	
Barbaro, Hermolano	Barbaro, Hermolano	authority	
Plutarco	Plutarco	authority	
Demetrio Falereo	Demetrio Falereo	authority	
Julio César	Julio César	authority	
Cicerón	Cicerón	authority	
Turnèbe, Adrien	Turnèbe, Adrien	authority	
Suárez, Cipriano	Suárez, Cipriano	authority	
Quintiliano	Quintiliano	authority	
Pico della Mirandolla, Giovanni	Pico della Mirandolla, Giovanni	authority	
Heráclito	Heráclito	authority	
Platón	Platón	authority	
Mercurio Trimegisto	Mercurio Trimegisto	authority	
Lipsio, Justo	Lipsio, Justo	authority	
san Agustín	san Agustín	authority	
san Agustín	San Agustín	authority	
Lucilio	Lucilio	authority	
Aftonio	Aftonio	authority	
Sánchez de las Brozas, Francisco	Sánchez de las Brozas, Francisco	authority	
Garcilaso	Garcilaso	authority	
Daniello, Bernardino	Danielo, Bernardino	authority	
Mena, Juan de	Mena, Juan de	authority	
Boscán	Boscán	authority	
Herrera, Fernando de	Herrera, Fernando de	authority	
Hernández de Velasco, Gregorio	Hernández de Velasco, Gregorio	authority	
Jiménez Patón, Bartolomé	Jiménez Patón, Bartolomé	authority	
Garay, Francisco de	Garay, Francisco de	authority	
Scala, Bartolomeo	Scala, Bartolomeo	authority	
Crinito, Pietro	Crinito, Pietro	authority	
Valdivielso, José de	Valdivielso, José de	authority	
Alderete, Bernardo de	Alderete, Bernardo de	authority	
Arias Montano, Benito	Arias Montano, Benito	authority	
Firmiano, Lactancio	Firmiano, Lactancio	authority	
san Bernardo	san Bernardo	authority	
Teócrito	Teócrito	authority	
