Id	Label	type	date
1630_vida-mayor	1630_vida-mayor	text	1630
Séneca	Séneca	authority	
Lucano	Lucano	authority	
Mena, Juan de	Mena, Juan de	authority	
Homero	Homero	authority	
Hesíodo	Hesíodo	authority	
Sidonio Apolinar	Sidonio Apolinar	authority	
Marcial	Marcial	authority	
Paravicino, fray Hortensio Félix	Paravicino, fray Hortensio Félix	authority	
Virgilio	Virgilio	authority	
Claudiano	Claudiano	authority	
Horacio	Horacio	authority	
Eurípides	Eurípides	authority	
Calímaco	Calímaco	authority	
Apolonio Rodio	Apolonio Rodio	authority	
Nono de Panópolis	Nono de Panópolis	authority	
Quinto Calabro	Quinto Calabro	authority	
Museo	Museo	authority	
Aristéneto de Nicea	Aristéneto de Nicea	authority	
Dión Crisóstomo	Dión Crisóstomo	authority	
Anacreonte de Teos	Anacreonte de Teos	authority	
Heliodoro	Heliodoro	authority	
Aquiles Tacio	Aquiles Tacio	authority
